report_org,acronym,org_category,HRP,proj.code,implementing.org,imp.acronym,donor,fin.partner,state,State_Pcode,lga,lga_pcode,ward,ward_pcode,site_type,location,Latitude,Longitude,activity_type,activity,HRP_indicator,cash_for_work,desc_activity,unit,quantity,Month,activity_status,start_date,end_date,pop_group,ben_status,num_of_ben_targetted,girls_6_17,boys_6_17,men_18_59,women_18_59,total_beneficiaries,CBT_modality,cbt_condition,cbt_amount_pp_hh,cbt_delivery_mechanism,observations,reporting_month,date
Learning through Skills Acquisition Initiative,LETSAI,National NGO,Non HRP,0,Learning through Skills Acquisition Initiative,LETSAI,UN Women,UN Women,Borno,NG008,Gwoza,NG008011,Pulka Bokko,NG008011013,central primary school Damara,Damara,,,"Livelihoods, employment and income generation",Provide start up kit,"Number of people supported to establish or scale up small businesses (including micro finance, cash grants, start-up kit, voucher, technical support etc.)",No,50 women and girls were trained and empowered with start up kits,leave quantity blank,50,Februrary ,Completed,30/11/2017,15/12/2017,IDPs in HC,New Beneficiaries,50,38,0,0,12,50,,,,,50 women and girls were succesfully trained and supplied with start up kits,February,27/02/2022
Learning through Skills Acquisition Initiative,LETSAI,National NGO,Non HRP,0,Learning through Skills Acquisition Initiative,LETSAI,UN Women,UN Women,Borno,NG008,Gwoza,NG008011,Pulka Bokko,NG008011013,central primary school Damara,Damara,,,"Livelihoods, employment and income generation",Support/creation of VSLA groups,Number of people reached through creation/support of VSLA,No,50 women were trained on finanacial litracy and importance of VSLA,# of groups,2,Februrary ,Completed,30/11/2017,15/12/2017,IDPs in HC,New Beneficiaries,50,38,0,0,12,50,,,,,2 VSLA was succesfully created with a combinned total of 50 members(women and girls),February,27/02/2022
Zireenza Support Foundation,ZSF,National NGO,Non HRP,0,Zireenza Support Foundation,ZSF,Self-Funding,Self Funded,Adamawa,NG002,Mubi North,NG002014,Lokuwa,NG002014005,community center ,Lokuwa opposite AIA Academics ,10.342143,13.390064,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,,# trainings,,Februrary ,Ongoing,23/02/2022,31/03/2022,IDPs in HC,New Beneficiaries,20,5,5,0,5,15,,,,,,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1125,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Fufore,NG002002,,#N/A,Local government ,local governmnt,9.2284,12.7135,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,# trainings,one training of trainers and implementer,Februrary ,Completed,10/02/2022,20/02/2022,Host Community (HC),Recurring Beneficiaries,15,0,0,12,3,15,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1126,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Gombi,NG002004,,#N/A,Local government ,local governmnt,10.1559,12.7368,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,# trainings,one training of trainers and implementer,Februrary ,Completed,10/02/2023,20/02/2023,Host Community (HC),Recurring Beneficiaries,15,0,0,10,7,17,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1127,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Hong,NG002007,,#N/A,Local government ,local governmnt,10.2301,12.9263,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,# trainings,one training of trainers and implementer,Februrary ,Completed,10/02/2024,20/02/2024,Host Community (HC),Recurring Beneficiaries,15,0,0,13,3,16,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1128,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Numan,NG002016,,#N/A,Local government ,local governmnt,9.4536,12.0318,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,# trainings,one training of trainers and implementer,Februrary ,Completed,10/02/2025,20/02/2025,Host Community (HC),Recurring Beneficiaries,15,0,0,14,6,20,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1129,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Mayo-Belwa,NG002012,,#N/A,Local government ,local governmnt,9.0529,12.0575,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,# trainings,one training of trainers and implementer,Februrary ,Completed,10/02/2026,20/02/2026,Host Community (HC),Recurring Beneficiaries,15,0,0,12,4,16,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1130,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Song,NG002018,,#N/A,Local government ,local governmnt,9.8547,12.6269,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,# trainings,one training of trainers and implementer,Februrary ,Completed,10/02/2027,20/02/2027,Host Community (HC),Recurring Beneficiaries,15,0,0,13,4,17,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1131,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Maiha,NG002011,,,Local government ,local governmnt,10.82,13.11,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,,one training of trainers and implementer,Februrary ,Completed,10/02/2028,20/02/2028,Host Community (HC),Recurring Beneficiaries,15,0,0,11,4,15,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
Catholic Relief Services,CRS,International NGO,Non HRP,0,,DDI,German Federal Ministry for Economic Cooperation and Development ,BMZ,Yobe,NG036,Gulani,NG036008,Tetteba,#N/A,Community centre,community,"11°43'39.9""E","10°48'41.2""N","Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Training of beneficiaries and Starter Kits distribution for 6 different trades including Traditional cap making, Making of Local Pasta, Shoe making, Cosmetology, and Repair of Mobile Phones.",# trainings,1,Februrary ,Completed,17/01/2022,29/01/2022,"HC, IDPs & Returnees",New Beneficiaries,50,0,0,21,23,44,,,,,,February,27/02/2022
